dc_id,type,city,state,lat,lon,weekly_capacity,fixed_cost_usd_wk
DFC_LocustGrove_GA,DFC,Locust Grove,GA,33.3589,-84.1515,70960.0,243086
DFC_Perris_CA,DFC,Perris,CA,33.7595,-117.2557,72772.0,326151
DFC_Troy_OH,DFC,Troy,OH,40.0626,-84.1853,62190.0,238293
DFC_Dallas_TX,DFC,Dallas,TX,32.8152,-96.8383,83950.0,288371
DFC_EastPoint_GA,DFC,East Point,GA,33.6702,-84.486,59366.0,277128
FDC_Dallas_TX,FDC,Dallas,TX,32.7479,-96.7965,,226713
FDC_SparrowsPoint_MD,FDC,Sparrows Point,MD,39.1707,-76.5251,67903.0,154335
PRO_Detroit_MI,PRO_DC,Detroit,MI,42.346,-83.0415,44300.0,221885
PRO_LosAngeles_CA,PRO_DC,Los Angeles,CA,34.026,-118.2341,52846.0,265712
PRO_SanAntonio_TX,PRO_DC,San Antonio,TX,29.4549,-98.5434,54103.0,179384
FL_WestPalmBeach_FL,RDC,West Palm Beach,FL,26.7456,-80.0332,82587.0,238711
FL_Miami_FL,RDC,Miami,FL,25.746,-80.2265,65810.0,178762
FL_FortMyers_FL,RDC,Fort Myers,FL,26.6857,-81.8883,58467.0,255546
DFC_Troy_OH,DFC,Troy,OH,40.0626,-84.1853,,238293
